Programming Language,Questionnaires,Difficulty,Average Difficulty
C,Cannot display all the element of my array in C?,0.0892,0.145
C,Segmentation fault (core dumped) in C code.,0.0964,0.145
C,LUMBER JACK question using domino effect to maximize the profit,0.1352,0.145
C,Resize image without using cairo_surface_set_device_scale,0.2175,0.145
C,how to uninstall MinGW and make cygwin 'make' as deafult make program with gcc 3.8.1 How to uninstall MinGW?,0.1842,0.145
C,Getting exit status of terminated process I'm trying to get the exit status and of each process whether it returned 1 or 0 and get the sum of each (number of 1s and number of 0s).,0.2945,0.145
C,"specific number of integers My requirement is to print x numbers of prime integer. So my code starts off by asking user to input a number, e.g. 7, I want it to produce 7 prime numbers.",0.3009,0.145
C,How it calculate size of array using pointer to array?,0.1068,0.145
C,"Get Stuck when calling function in main function I'm a beginner in writing C language code. When i call a function into main function, my code gets stuck. When i debug my code, it is free of error but when i run it, it is stuck. I have no idea.Can i know why? How should i solve it?",0.4576,0.145
C,How to call C++ function from C?,0.0548,0.145
C,determine pointer length in a typedef struct [duplicate] How to determine pointer length in a typedef struct?,0.198,0.145
C,Using graphics.h or the Turbo-C compiler on a Mac,0.0881,0.145
C,"Thread locking a (possible) destoyed mutex I have 2 thread-safe lists (same type), where each node has a mutex (I know that it's not the optimal solution, but that's what I was asked to do).",0.3082,0.145
C,"How do I request characters from a user, and then print the size of the characters?",0.147,0.145
C,How to put variable on nested loop?,0.0718,0.145
C,Muxing video H264 and data with mpegtsmux Gtsreamer I would like to mux H264 video and data (like a buffer or file) with mpegtsmux.,0.2216,0.145
C,Will EXECVP system call supports IO redirections,0.1238,0.145
C,How does a compiler choose which function to link?,0.1031,0.145
C,What are the rules about using an underscore in a C identifier?,0.1184,0.145
C,Reboot required to recover from error by `clBuildProgram`?,0.1363,0.145
C,"Pointers On C exercises 6.18-2, my solution does not work",0.1028,0.145
C,Pthread heap buffer overflow I tried to create a multithread server using pthread. The compiling failed and gave a heap buffer overflow error.,0.2442,0.145
C,"Structures and memory management, C I'm trying to understand some things about structures and memory management.",0.2055,0.145
C,How to impelment custom I/O code with cryptlib?,0.0936,0.145
C,"Linux+C : fork() and waitpid() acting funny I'm taking an OS undergrad course, and I'm unable to correctly do a lab practical question that came last year in exams.",0.2679,0.145
C,GNU readline library handle EOFi use readline library (GNU) to show a prompt and get datas,0.1623,0.145
C,Saving getline() output to an external array The external array srclns should keep each read line from a text file. But reading it's content afterwards seems like read lines are empty strings. What am I missing in the code below?,0.3682,0.145
C,Closing thread pool down after all work items are complete,0.1205,0.145
