Programming Language,Questionnaires,Difficulty,Average Difficulty
Java,"My app is crashing after I clicked the call buttton I am a starter in Android Studio, my app works fine but crasher every time i click the call button",0.2038,0.1367
Java,Browser requests file larger than original file sizeI am creating a video play function on my website.,0.1614,0.1367
Java,How to extract both positive and negative integers from a string input in java which has the input pattern as given below?,0.1772,0.1367
Java,png images in html content are not showing up on gmail client for the email sent from java program,0.1449,0.1367
Java,Java server becomes unresponsive once listening started I'm trying to make a basic client-server program in Java.,0.1729,0.1367
Java,Crash occurring on some devices and not on others with Index Out Of Bounds exception | Android I have a really huge problems.,0.1805,0.1367
Java,Java that will scan the total cost of a quantity how to get the total cost of this java program,0.1355,0.1367
Java,Intermediate javax.ejb.EJBException: java.lang.Null Pointer Exception in Jboss application,0.1753,0.1367
Java,"Images showing in scene builder, but not after compilation",0.1205,0.1367
Java,How to sort the files in the directory in java using File Handling In this program,0.1256,0.1367
Java,"How do I fix this ""Duplicate class error"" in Android Studio How do I fix this when I try to build my android app.",0.154,0.1367
Java,How get only year with type XML Gregorian Calendar i have a XML Jaxb class to set with XML Gregorian Calendar type.,0.1647,0.1367
Java,Not overrunning an array limit? [duplicate],0.1114,0.1367
Java,Class Cast Exception occurs when I am trying the Blaze Persistence documentation sample,0.1587,0.1367
Java,Java Mybatis sql inserting data in a table with composite key where both key parameter as foreign keys I'm trying to make a User-Bundle relation,0.201,0.1367
Java,Reflect env variable reload to java bean public static final String,0.1258,0.1367
Java,Similar to Vending Machine Closed. This question needs debugging details.,0.1512,0.1367
Java,Class is not abstract and does not override abstract method keyReleased(KeyEvent) in KeyListener,0.1697,0.1367
Java,"Wrap the Controller Response into Another Object Consider the below Controller method,",0.1647,0.1367
Java,Wrong result meta data when using pagination with Balze-Persistence,0.1376,0.1367
Java,How to choose appropriate chunk Size and num Direct Arenas for netty,0.1189,0.1367
Java,How to use a hashmap to set characters equal to different characters?,0.1197,0.1367
Java,Live Data with sqlite not updating UI,0.0771,0.1367
Java,Java BigInteger source code performance benchmark [duplicate],0.1668,0.1367
Java,Spring Cloud stream - Routing to multiple destinations stream Bridge,0.1508,0.1367
Java,"I'm having a visual bug with the underlines in Visual Studio Code and I can't a reference of it anywhereThe error shows with import issues, as far as I can recall.",0.2182,0.1367
Java,Java - How to compare list of different Object types,0.0983,0.1367
Java,Alpine with jdk11 as base docker image,0.0811,0.1367
Java,How to update particular cell using POI without modifying any other data at the same row?,0.1394,0.1367
Java,Set network tag for Dataflow flex launcher,0.0972,0.1367
