Programming Language,Questionnaires,Difficulty,Average Difficulty
Prolog,What is the simple way to find the max length of a list in prolog?,0.3497,0.2733
Prolog,"Prolog predicate - Same functionality, different results",0.3248,0.2733
Prolog,"How to ""return"" two values in prolog",0.1741,0.2733
Prolog,Return the list of users in prolog,0.167,0.2733
Prolog,How to tell prolog if the function returns false then skip it?(15 puzzle game),0.4088,0.2733
Prolog,Difference between variables used to count items in a prolog list,0.3408,0.2733
Prolog,Prolog check if list X has any duplicates,0.2078,0.2733
Prolog,How to make a Battleships game using Prolog?,0.2241,0.2733
Prolog,Directional graph in prolog,0.1562,0.2733
Prolog,how to search a prolog knowledge base using pyswip,0.2594,0.2733
Prolog,Safe sorting of terms,0.1011,0.2733
Prolog,Entity-Relation data model in Prolog,0.19,0.2733
Prolog,A prolog predicate to split a list into sperate lists ever n elements,0.3618,0.2733
Prolog,Merge two predicates in one - Prolog,0.1825,0.2733
Prolog,Prolog String-Intensive Algorithm Crashes,0.2477,0.2733
Prolog,Prolog predicate without using lists,0.2075,0.2733
Prolog,Inclusion function in prolog for multisets,0.2338,0.2733
Prolog,Age comparsion for Zebra Riddle,0.1672,0.2733
Prolog,Sum within list prolog,0.1103,0.2733
Prolog,How count Dijkstra guards sort executions in Prolog,0.2714,0.2733
Prolog,How to list more than 1 output on prolog query?,0.2374,0.2733
Prolog,Simulating occurs_check=error in SICStus Prolog,0.2703,0.2733
Prolog,"Facts VIEW, like a SQL VIEW?",0.1241,0.2733
Prolog,Sorting a list in prolog based on 2 keys,0.1989,0.2733
Prolog,Bracket Abstraction in Prolog,0.1746,0.2733
Prolog,writing a Prolog isSquare function,0.1914,0.2733
Prolog,"Extending unification, SICStus-style",0.2332,0.2733
Prolog,Prolog unification broken when argument order is changed,0.3032,0.2733
Prolog,Split a list on an index in Prolog,0.1632,0.2733
Prolog,Prolog beginner ERROR: Out of local stack,0.2111,0.2733
Prolog,SWI-Prolog Editor accepts invalid encoding,0.2338,0.2733
Prolog,Prolog - load 2D array from text file into program,0.2544,0.2733
Prolog,Prolog: Storing result of an operation,0.2009,0.2733
Prolog,"Is it possible to write an inconsistent Prolog program using only pure Prolog, cut and `false`?",0.4933,0.2733
Prolog,Prolog as first programming language [closed],0.2482,0.2733
Prolog,How to use if then else condition in DOSBOX TurboProlog,0.286,0.2733
Prolog,how can i optimize my regular rectangle checker in prolog?,0.3012,0.2733
Prolog,format output in Prolog,0.1195,0.2733
Prolog,Prolog Printing a Tree,0.1103,0.2733
Prolog,Use assertz while within a clause within swi-prolog,0.2655,0.2733
Prolog,How to use DCG in Prolog,0.1024,0.2733
Prolog,Does SWI-Prolog's `foreach/2` involve `freeze/2`?,0.2409,0.2733
Prolog,Concating 2 lists with third list containing every different order of the elements of the 2 lists,0.5111,0.2733
Prolog,SOOOOO NEWB... Prolog Syntax Error: operator expected,0.2827,0.2733
Prolog,Prolog: Find Minimum again and again until the list is empty,0.3108,0.2733
Prolog,Arguments are not sufficiently instantiated unable to load program,0.3562,0.2733
Prolog,XSB Runtime errors - MulVal,0.1449,0.2733
Prolog,unexpected end_of_file when using read/1,0.2192,0.2733
Prolog,How does the length of list predicate work,0.2142,0.2733
Prolog,Get all the elements of a type Prolog,0.1823,0.2733
Prolog,Function to Reply a specific index value,0.2076,0.2733
Prolog,How to check if a number is even?,0.1541,0.2733
Prolog,"Is there a predicate that replaces every anonymous variable, by the number 1? On a list of only zeros and ones and anonymous variables",0.7097,0.2733
Prolog,No 'Access-Control- Allow-Origin' header is present on the requested resource. How to properly serve CORS requests in SWI-Prolog / ClioPatria?,0.7318,0.2733
Prolog,Why do some DCG test cases use assertion( Rest == [])?,0.2611,0.2733
Prolog,"How to use the ""-"" constructor in Prolog?",0.1982,0.2733
Prolog,Counting elements in list ignoring adjacent duplicates,0.3023,0.2733
Prolog,Equivalence of disjunction operator and definition with several rules,0.3744,0.2733
Prolog,Is it possible to preserve variable names when writing and reading term programatically?,0.4604,0.2733
Prolog,What is meant by the following two lines?,0.205,0.2733
Prolog,Prolog: put recursive predicates into Variable,0.2593,0.2733
Prolog,Abduction of Prolog clauses,0.1562,0.2733
Prolog,Prolog - 'unknown clause' error message when asking for user input when using PIE (Prolog Interface Engine),0.5499,0.2733
Prolog,How to save even numbers in Prolog?,0.1705,0.2733
Prolog,Prolog search key/value list and output a list of values,0.2905,0.2733
Prolog,How to get rid of Singleton variables errors?,0.2304,0.2733
Prolog,is there any better way to adjust gerrit insert code size base on rule and exclude file path?,0.4938,0.2733
Prolog,How to remove consecutive duplicate atoms in a list,0.2655,0.2733
Prolog,Iteration over relations using a database,0.2265,0.2733
Prolog,Generating a PowerSet and Returning It As A List,0.2473,0.2733
Prolog,PROLOG - check if file exists,0.1421,0.2733
Prolog,Getting the first/second element of a tuple in Prolog,0.2744,0.2733
Prolog,permutation/2 returns no permutation,0.2075,0.2733
Prolog,Find shortest path between two vertices in undirected graph,0.3139,0.2733
Prolog,How to use predicate value inside another predicate,0.2714,0.2733
Prolog,Append always returning false statement,0.2316,0.2733
Prolog,"Prolog character string list product, can't figure out recursion",0.336,0.2733
Prolog,"Prolog gives fail during searching for solution, when there is one",0.3444,0.2733
Prolog,Add following numbers to difference list in Prolog,0.2651,0.2733
